
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Luis', 'Villarreal', 'admin', 'admin', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kathi', 'Wegner', 'kwegnerg', 'GEYusKW', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Danny', 'Amburgy', 'damburgyh', 'uicYnI', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Antonin', 'Wandless', 'awandlessi', 'IF1TC9Q', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Zelda', 'Chalker', 'zchalkerj', 'mKUdpbEG', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Jandy', 'Fillery', 'jfilleryk', '2HcOg08IL', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Reina', 'Breckon', 'rbreckonl', '303jSm', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Chandal', 'Davy', 'cdavym', 'wXYzq3n3cs', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Moll', 'Benbow', 'mbenbown', 'CN3M1B4H0', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Dotty', 'Ranshaw', 'dranshawo', 'tGXDlKdD', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Cosette', 'Surphliss', 'csurphlissp', 'FZmo4ZIGTM', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Beulah', 'Allanby', 'ballanbyq', '8bJ04v51ja5b', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Cornelia', 'MacKonochie', 'cmackonochier', 'qbqHhvDPN5n', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bobbe', 'Atrill', 'batrills', 'GzGNbujIiq0', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Celesta', 'Busk', 'cbuskt', 'aJsNgpEHPeD', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Clerc', 'Librey', 'clibreyu', 'ORUGEmj0qq', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Andie', 'Woolveridge', 'awoolveridgev', 'IIQEsr4BC', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Roarke', 'Rickerby', 'rrickerbyw', 'o0AVy5Qy5gT8', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Iain', 'Constant', 'iconstantx', '2HtN19sISu', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Vittorio', 'Brizell', 'vbrizelly', 'Jwjs9BJQkyF', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Nap', 'Neubigging', 'nneubiggingz', 'TK4E5WaEss3b', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Koo', 'Blampy', 'kblampy10', 'D89rqS', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kaleb', 'Wandrey', 'kwandrey11', 'MihDqo4gamU', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Rad', 'Comford', 'rcomford12', '0gQYMjQcC0J5', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Gearard', 'Emblem', 'gemblem13', 'wwjZhmoKxTYJ', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Alana', 'Dignam', 'adignam14', 'WNll5TQQO', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Agustin', 'Kennedy', 'akennedy15', 'fhYEjTMiNaYQ', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Dillie', 'Bertelmot', 'dbertelmot16', 'J6f5iPKUJ', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Teresita', 'Asipenko', 'tasipenko17', 'wiAhMrapjwOP', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Aliza', 'Lettuce', 'alettuce18', 'ozkU5xQ4m', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Wendi', 'Cloy', 'wcloy19', '3eDxfBoLFOx8', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Wilmar', 'Van Arsdall', 'wvanarsdall1a', 'ReksFQazoQ', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Tiffanie', 'Stansby', 'tstansby1b', 'U4VRWAt9A', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Margie', 'Dunford', 'mdunford1c', 'qRfkqQd', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kassie', 'Trays', 'ktrays1d', 'SaIz6s', 'activo');
