id,nombre,apellido,usuario,pass,fecha_creacion,ult_ingreso,estado,permisos/0/id,permisos/0/nombre_permiso,enabled,fechaCreacion,ultIngreso
17,Brittaney,Easum,beasume,$2b$12$v7SkZn8eZkVs9AtErKiXAuAT2sQDxkl9EquRPc2rEDUEU398DNbyS,,,desactivo,1,ADMIN,false,,
18,Pebrook,Pesak,ppesakf,$2b$12$3ZN5Byzhof5UnAp0i6EdOOO/MsA40SeJ.CUgqmtGey6py2fCYQ0HC,,,desactivo,1,ADMIN,false,,
19,Kathi,Wegner,kwegnerg,$2b$12$UeNUbZN7I30F9AQFvBMKhO7Sk0e9JhA4X6a5FReHkDnhOrWPamTMO,,,desactivo,2,USER,false,,
20,Danny,Amburgy,damburgyh,$2b$12$QftA97pjpETPQlyjQ7.6xOIVFOHnagzecIA1h2f1A5dMZILGeJMVO,,,desactivo,1,ADMIN,false,,
21,Antonin,Wandless,awandlessi,$2b$12$6HtB/0fTOAl34v0sUjrWF.bAU5Co9awpw9qmpbViS5L3aW8whAYle,,,desactivo,1,ADMIN,false,,
22,Zelda,Chalker,zchalkerj,$2b$12$xZNK9RN9fqdm0XxY0kMuheSjmbzXXsmQ0f5JVTcoYT5HljKJZH/s2,,,desactivo,2,USER,false,,
23,Jandy,Fillery,jfilleryk,$2b$12$Xf/9/LcK3hgoCWR1UOHhOuUKRdKAv./tdfjptegnCVX2RBqhCAwXy,,,activo,2,USER,true,,
24,Reina,Breckon,rbreckonl,$2b$12$YHbNC9XWF4SWhWDPaMF2QOgMC27v5birKh9LtbLjdovkKk4CEfz62,,,desactivo,1,ADMIN,false,,
25,Chandal,Davy,cdavym,$2b$12$QNwwdIWbevKm72We7V5.OueF5F.w.hSjnWEXnueplPhcw5MIqk9ke,,,desactivo,2,USER,false,,
26,Moll,Benbow,mbenbown,$2b$12$QdW45Q61JKgY.O4agYApGOwhqjExvMwAm9aY3A8XwYYqLkN/.UtAu,,,desactivo,2,USER,false,,
27,Dotty,Ranshaw,dranshawo,$2b$12$H6J.y9CIMUdNZyznt10PMucx/FPs/seYUISvFAtcnCtyTI.3qCobC,,,desactivo,1,ADMIN,false,,
28,Cosette,Surphliss,csurphlissp,$2b$12$c8oHdH88MZ3A1XUMU3uGX.AnF2bXR7OB9rIoKDRqF5P/oOf2Nf/4S,,,desactivo,1,ADMIN,false,,
29,Beulah,Allanby,ballanbyq,$2b$12$pjGunMU.h9zg6wSqmN02lecuUotEY88dp0nSKokruo0kFiVYaxUr.,,,desactivo,2,USER,false,,
30,Cornelia,MacKonochie,cmackonochier,$2b$12$D6ST0j0uMP3VXenBXm2/KuQ.cWLFSQI/rFa8W9Kah02VVaeUys74S,,,activo,2,USER,true,,
31,Bobbe,Atrill,batrills,$2b$12$IDSRt17k/PB2Z9YSh4FZOe4zJtZKp4gyMq4t.nFQU6SF0dsJPB/eu,,,desactivo,1,ADMIN,false,,
32,Celesta,Busk,cbuskt,$2b$12$i/ZXl9y9vJj/0.V2mFLqpu5MlK663RcO.ozmKEK/wtix.unDQp2Pq,,,desactivo,2,USER,false,,
33,Clerc,Librey,clibreyu,$2b$12$WU7LyYH3.znZE30ErvVpCuGV5nnX8Q801e.a4OPaM3UvJ5UAPKDA2,,,activo,1,ADMIN,true,,
34,Andie,Woolveridge,awoolveridgev,$2b$12$dCPHnIDo35fWQtyFWXDwfeIcsBx709erEIh2nn4YBssNv11gUI5gS,,,activo,1,ADMIN,true,,
35,Roarke,Rickerby,rrickerbyw,$2b$12$NJfTsO4DG3M/TK/2dUVRMuyowLIN16WK73xpQWGl1DmJbxqvALDJm,,,activo,1,ADMIN,true,,
36,Iain,Constant,iconstantx,$2b$12$6wR8u7.BdAH8rDW4H7t8HOqXBeUeKN3tP./AsNOUSaZfItVa3FABi,,,activo,2,USER,true,,
37,Vittorio,Brizell,vbrizelly,$2b$12$6MO8ItS9RwIU07bgRkNQhu2Qf2pEiYbFQ2RMEAAbMYqp.r6Iq7TwS,,,activo,2,USER,true,,
38,Nap,Neubigging,nneubiggingz,$2b$12$gKrZJL/uXjEyDYloF4dgieB8dCGAjARSaOpJgDbRAUrfPVHMMR.ia,,,desactivo,2,USER,false,,
39,Koo,Blampy,kblampy10,$2b$12$65Dcvo8u1M9jdiogwZYiBekqPWJW9mLdUtqncy6Ute/Vy8M2IHjua,,,desactivo,1,ADMIN,false,,
40,Kaleb,Wandrey,kwandrey11,$2b$12$WVU5equHYRiQxd4xOTh0HOgPW4fEWSnaDq8EI8Mb15V6a7ax4P8um,,,activo,1,ADMIN,true,,
41,Rad,Comford,rcomford12,$2b$12$ZZ1307uaE4fkH6FPSCmFcuF1jgx8GimCOaiRWfb94UAGpTiibrUOK,,,activo,1,ADMIN,true,,
42,Gearard,Emblem,gemblem13,$2b$12$3.XXUOdo/TSaNNddey5DGOK9G7FFiHC9IpvvDVC3JMCNkMREuw5WK,,,activo,1,ADMIN,true,,
43,Alana,Dignam,adignam14,$2b$12$1kxLwjSuS85cCa6Bvi84y.zV5avucua/1OetYKFg4MVQGP5Zgsjqe,,,desactivo,2,USER,false,,
44,Agustin,Kennedy,akennedy15,$2b$12$IhbObIRKxkqS..6TMe/dWu.wOsNXBFEk1jFD1OQLNlJ0z5.ffHR9S,,,desactivo,1,ADMIN,false,,
45,Dillie,Bertelmot,dbertelmot16,$2b$12$oF4sx9swz1MTWoO9FxnuZeS8yRwFJ0rTHydXE8j9Z02ie8sIWYfDG,,,desactivo,2,USER,false,,
46,Teresita,Asipenko,tasipenko17,$2b$12$jig.df8VJeuVRz9yTPVWCeJ5x8vJqzaxh/1Y9h76wsO3N9tou.JjW,,,activo,1,ADMIN,true,,
47,Aliza,Lettuce,alettuce18,$2b$12$GYt67nckJjdcaBnEbH8ZT.DwCmMc4lTyL0aJrpXdo8D8QHyUait9i,,,desactivo,2,USER,false,,
48,Wendi,Cloy,wcloy19,$2b$12$tK1SiAvFlnT4rHGz7dKPz.2Ph/dmHony7In3BwRkgP/Dmsia.zeKy,,,desactivo,2,USER,false,,
49,Tiffanie,Stansby,tstansby1b,$2b$12$v5dcPvQPVoaTMtqQwX.J2enJz66AobKyeqlupsGyMe6vGID6M1GBy,,,activo,1,ADMIN,true,,
50,Margie,Dunford,mdunford1c,$2b$12$VzF.bP0OnGvZofX/T/xS5eJh/GA6TMuDXH2pjSqH50OA6fxOZkuZi,,,activo,2,USER,true,,
51,Kassie,Trays,ktrays1d,$2b$12$rgQnyQjP5YbzP0w0I5HTH.3Z/54tyGY.lDW0RX/JAfhj//HMiZIna,,,activo,,,true,,
